,Unnamed: 0,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat,merged,counts,pay_sum,pay_average
18,21,Dalhousie University | Dalhousie Univerity,Psychology and Neuroscience,10000.0,,2019-2020,1st,"Our funding is also capped. This means that even if we win grants in an amount that surpasses our funding cap then we get the award as an ""honourary"".",-63.590612,44.6370765,False,4,51000.0,12750.0
19,22,Massachusetts Institute of Technology (MIT),Chemical Engineering,43380.0,1.55,2020-2021,3rd,,-71.0935805,42.358984,False,73,2671935.0,36601.849315068495
20,23,"University of California , Berkeley | University of California, Berkeley | University of California,Berkeley",Psychology,29000.0,1.04,2020-2021,1st,,-122.2591495,37.870499,False,137,4253636.0,31048.43795620438
21,24,"Rutgers the State University of New Jersey , New Brunswick | Rutgers University",Linguistics,26800.0,1.04,2019-2020,1st,,-74.447763,40.50005625,False,52,1407136.0,27060.30769230769
22,25,"University of North Carolina , Greensboro (UNCG)",Communication Sciences and Disorders,10000.0,0.47,2020-2021,4th,,-79.792,36.0726,False,14,219999.0,15714.214285714286
24,27,Duke University (DU),Biomedical Engineering ,27700.0,1.25,2019-2020,4th,,-78.93713079999999,36.0060219,False,156,4609446.0,29547.73076923077
26,29,"University of Texas , Dallas (UTD)",Psychological Sciences,18600.0,0.86,2017-2018,5th,,-96.750326,32.985556,False,28,652333.0,23297.60714285714
27,30,"University of Wisconsin , Milwaukee (UWM)",English,13000.0,0.61,2020-2021,5th,,-87.885015,43.077073999999996,False,16,263641.0,16477.5625
28,31,"University of North Carolina , Chapel Hill (UNC) | University of North Carolina at Chapel Hill ",Musicology,18000.0,0.81,2020-2021,3rd,,-79.049486,35.9083286875,False,140,3131377.0,22366.97857142857
31,35,Colorado State University (CSU),Mathematics,19200.0,0.85,2019-2020,1st,"9 month is with a teaching assistantship, summer is an RA",-104.575749,38.309376,False,22,464567.0,21116.68181818182
32,36,"University of Alabama , Birmingham (UAB)",GBS,31000.0,1.44,2020-2021,5th,,-86.802087,33.506034,False,23,573475.0,24933.695652173912
33,37,Old Dominion University (ODU),Biology,17000.0,0.64,2019-2020,,"If youre lucky enough to be one of the few that gets a TAship over the summer you can make up to 21,000-22,000 a year but very few people get it in this department. ",-76.30044699999999,36.884704,False,8,165700.0,20712.5
35,39,,,22000.0,,2020-2021,5th,,,,False,1,22000.0,22000.0
36,40,"University of California , San Diego (UCSD) | University of California , Santa Cruz",Language and Communicative Disorders,23000.0,0.87,2019-2020,1st,,-122.05759450000001,36.9901525,False,126,3432611.0,27242.944444444445
38,42,University of Utah,Mathematics,26000.0,1.17,2020-2021,1st,,-111.83788200000001,40.769754999999996,False,52,1221588.0,23492.076923076922
39,43,University of Iowa (UI),Department of Anthropology ,20064.0,0.9,2020-2021,3rd,"Required fees tend to vary. For anthropology courses its cheaper, but taking biology courses will be a higher fee. ",-91.580951,41.674908,False,34,742098.0,21826.41176470588
42,48,University of Otago,Psychology,24305.0,,2016-2017,3rd,In New Zealand Dollars. Stipend is tax free.,170.51343549999999,-45.8657665,False,1,24305.0,24305.0
44,50,University of Zurich,Economics,44555.0,,2020-2021,1st,,8.5476405,47.376401,False,1,44555.0,44555.0
45,51,,BSTP,30000.0,,2019-2020,1st,Can waive healthcare fee if already covered. Tuition covered thru BSTP PhD program. ,,,False,1,30000.0,30000.0
46,52,Case Western Reserve University,BSTP,30000.0,1.5,2019-2020,1st,Can waive healthcare fee if already covered. Tuition covered thru BSTP PhD program. ,-81.609739,41.504526,False,33,807834.0,24479.81818181818
47,53,Stanford University (SU),,45600.0,1.59,2019-2020,,,-115.114218,36.002823,False,111,4278557.0,38545.55855855856
48,54,University of Pennsylvania | University of Pennsylvania ,Biochemistry and Molecular Biology,34000.0,1.41,2020-2021,2nd,,-75.191259,39.9492625,False,111,3518479.0,31698.00900900901
49,55,Australian National University,RseS,29000.0,,2020-2021,3rd,,149.1181075,-35.283984999999994,False,1,29000.0,29000.0
50,56,Harvard University (HU) | Howard University (HU),Systems Biology,40500.0,1.41,2020-2021,2nd,"Healthcare, gym membership, tuition, $1000 move-in stipend, all included.",-6.95,37.25,False,104,3579436.0,34417.653846153844
51,57,"University of Maryland , College Park (UMD)","Applied Mathematics & Statistics, Scientific Computation (AMSC)",19277.0,0.64,2020-2021,2nd,"The amount for required fees is yearly, but it is billed as $815 per semester. The first two years of the program, nearly everyone is awarded a $5,000 yearly fellowship, which is not included in the gross pay above. It expires after the first two years.",-76.94796,38.984326,False,84,2006453.0,23886.345238095237
52,58,University of Georgia (UGA),Pharmaceutical and Biomedical Sciences,25600.0,1.21,2019-2020,1st,,43.881434770301,42.3842114527972,False,39,856487.0,21961.20512820513
54,60,Emory University,Cancer Biology,31000.0,1.33,2019-2020,1st,,-84.38642250000002,33.76855425,False,98,2645642.0,26996.34693877551
55,61,"University of Hawaii , Manoa (UH)",Earth Sciences,31200.0,1.02,2018-2019,4th,,-81.3465,40.3931,False,24,517900.0,21579.166666666668
56,62,University of British Columbia ,,14400.0,,2020-2021,4th,,-123.25061200000002,49.264573,False,12,228492.0,19041.0
58,64,Brandeis University,Neuroscience,35000.0,1.25,2020-2021,1st,,-71.259119,42.366078,False,16,428900.0,26806.25
59,65,Indiana University | Indiana University Bloomington,Anthropology ,15745.0,0.73,2020-2021,4th,,-86.52091300000001,39.167190000000005,False,86,1673016.0,19453.674418604653
60,67,Northwestern University (NU),Anthropology,29780.0,1.23,2020-2021,4th,24k after taxes,-87.681944,42.050146000000005,False,105,3338999.0,31799.990476190476
61,68,Marquette University,philosphy,16900.0,0.79,2020-2021,6th and up,,-87.92847900000001,43.0381805,False,7,152166.0,21738.0
62,69,Virginia Commonwealth University (VCU),Biomedical Engineering ,27000.0,1.09,2020-2021,5th,1000 pay raise after PhD Candidacy ,-77.452015,37.548297,False,17,424518.0,24971.647058823528
63,75,"University of Nebraska , Lincoln (NU) | University of Nebraska Medical Center",Communication Studies,15800.0,0.81,2019-2020,4th,,-96.70419,40.816183,False,23,458447.0,19932.478260869564
64,76,University of Kansas (KU),CS/PhD,19000.0,0.93,2020-2021,2nd,,47.5906041080513,29.341211574302697,False,28,560894.0,20031.928571428572
65,77,"Purdue University , West Lafayette",Communication ,25500.0,1.21,2020-2021,1st,Compensated for teaching a 2-2 course load. ,-86.92597925,40.426348,False,72,1531684.0,21273.38888888889
70,82,"University of California , Davis (UCD)",Philosophy,21900.0,0.91,2020-2021,1st,"My total package with tuition remission is $40,422 with a 3% increase per year",-121.751827,38.539555,False,64,1590019.0,24844.046875
71,83,University of Southern California (USC),Biology,35000.0,1.35,2020-2021,3rd,,-118.14106000000001,34.146771,False,121,3809703.0,31485.14876033058
72,84,,,25000.0,,2020-2021,,,,,False,1,25000.0,25000.0
74,87,Kent State University (KSU),Sociology,18000.0,0.91,2020-2021,1st,,11.255723,43.770458000000005,False,7,116000.0,16571.428571428572
75,88,University of Alberta,Business,25000.0,,2020-2021,2nd,,-113.5228665,53.5246715,False,7,136761.0,19537.285714285714
76,89,,BME,28700.0,,2020-2021,3rd,,,,False,1,28700.0,28700.0
77,90,Georgia Institute of Technology (Georgia Tech),BME,28700.0,1.23,2020-2021,3rd,,-84.3926795,33.78023525,False,100,2471953.0,24719.53
78,92,Tennessee State University (TSU),Biology,15000.0,0.65,2020-2021,4th,,-89.99091899999999,35.120488,False,1,15000.0,15000.0
79,93,Florida Atlantic University (FAU),Integrative Biology,23000.0,0.96,2020-2021,3rd,,-80.101683,26.375453999999998,False,14,294032.0,21002.285714285714
80,94,San Diego State University (SDSU),Computational Science,25000.0,0.94,2020-2021,1st,"University Fellowship. Not sure if you can earn more by TAing during the summer, but you probably can. Not likely to accept my offer, though.",-90.676855,35.839503,False,8,171950.0,21493.75
81,96,Trinity College Dublin | Trinity College Dublin ,Chemistry,16000.0,,2020-2021,3rd,"We are paid a tax exempt stipend of 16000 euro, with fees covered by the grant.  We also are paid for teaching hours.",-6.257573875,53.34432087500001,False,7,114406.0,16343.714285714286
82,97,,Statistics,18000.0,,2020-2021,1st,,,,False,1,18000.0,18000.0
83,98,University of Padua,Statistics,18000.0,,2020-2021,1st,,11.8804325,45.407140500000004,False,1,18000.0,18000.0
84,99,"University of Alabama , Huntsville (UAH) | University of Alabama in Huntsville",Space Sciences,14700.0,0.69,2018-2019,1st,,-86.640411,34.728415999999996,False,6,94287.0,15714.5
85,100,University of Louisville (U of L),College of Education and Human Development ,24000.0,1.16,2020-2021,1st,,-85.584006,38.253366,False,14,287775.0,20555.35714285714
86,101,University of Missouri (MU),Accounting,25900.0,1.26,2020-2021,1st,"Also pays for a computer, health care and additional fund of $1500 for travel",-117.31969199999999,34.173184,False,25,537668.0,21506.72
87,102,Ohio State University (OSU),Neuroscience ,27600.0,1.38,2017-2018,6th and up,,-83.029862,40.020121,False,75,1787740.0,23836.533333333333
88,103,,,35500.0,,2020-2021,,,,,False,1,35500.0,35500.0
89,104,"University of California , Riverside (UCR)",Electrical and Computer Engineering,25000.0,1.04,2019-2020,,,-117.327529,33.970224,False,29,679951.0,23446.58620689655
94,110,Vanderbilt University,English,26000.0,1.13,2020-2021,3rd,,-86.80421050000002,36.14688,False,73,2097399.0,28731.49315068493
95,111,Wayne State University,Pharmaceutical Sciences,25000.0,1.2,2020-2021,,,-83.06965749999999,42.3568145,False,18,415766.0,23098.11111111111
96,112,Carnegie Mellon University (CMU),Robotics Institute,36000.0,1.74,2020-2021,1st,,-79.94494350000001,40.44288975,False,48,1315542.0,27407.125
97,113,"University of Illinois , Chicago (UIC)",Chemistry ,26400.0,1.09,2020-2021,4th,Fees are 50% less if you use your own healthcare provider.,-87.650264,41.873436,False,35,759875.0,21710.714285714286
98,114,Florida State University (FSU),College of Communication and Infromation,15857.0,0.68,2020-2021,1st,,-84.298289,30.444751,False,26,515575.0,19829.80769230769
100,117,Uniformed Services University of the Health Sciences,Clinical Psychology,33790.0,1.12,2020-2021,2nd,"Pay includes subway and books. University does not reimburse fully for health insurance (will cost ~$320/month), no annual pay increases, not allowed to get outside employment or take loans, no additional stipends allowed.",-77.0861685,39.001329,False,2,69790.0,34895.0
102,119,,,33500.0,,2020-2021,,,,,False,1,33500.0,33500.0
103,120,Scripps Research Institute (SRI) | The Scripps Research Institute,Chemistry,31000.0,1.17,2019-2020,5th,,-117.23920700000001,32.902363,False,11,335000.0,30454.545454545456
104,121,The Catholic University of America,Physics,26750.0,0.87,2020-2021,4th,,-76.996299,38.933378000000005,False,11,188935.0,17175.909090909092
106,123,West Virginia University (WVU),Physics,21750.0,0.97,2020-2021,1st,,-79.981236,39.6492345,False,22,468849.0,21311.31818181818
107,124,Tulane University (TU),French,22000.0,0.95,2019-2020,3rd,,-87.55,33.21,False,22,501065.0,22775.68181818182
108,125,Pennsylvania State University (Penn State),Sociology,20000.0,0.89,2016-2017,1st,,-77.86414400000002,40.80152075,False,104,2764634.0,26583.01923076923
112,129,"University at Buffalo , SUNY",chemistry,26000.0,1.24,2020-2021,1st,,103.77640500000001,1.328776,False,45,881740.0,19594.222222222223
115,132,"Texas A&M University , College Station | Texas A&M College Station",Physics,25200.0,,2020-2021,1st,,-96.342133,30.614044,False,51,1224325.0,24006.37254901961
116,133,University of Connecticut (UConn),,35700.0,1.47,2020-2021,1st,,-72.2481995,41.8070105,False,32,792337.0,24760.53125
118,135,University of Chicago,Chemistry,33640.0,,2019-2020,1st,,-87.604687,41.789889,False,1,33640.0,33640.0
119,136,University of Houston (UH),Chemical Engineering,30000.0,1.37,2020-2021,1st,,-95.360387,29.766112,False,18,432293.0,24016.277777777777
120,137,Gerstner Sloan Kettering (Memorial Sloan Kettering Cancer Center),Cancer Biology,42230.0,,2020-2021,1st,,-73.95684250000001,40.76439050000001,False,1,42230.0,42230.0
123,140,"University of Michigan , Ann Arbor (UM)",Neuroscience,32739.0,1.42,2020-2021,2nd,,-83.73849799999998,42.2771875,False,126,3610930.0,28658.174603174604
125,143,"University of Arkansas , Little Rock (UALR)",Computer Science,18000.0,0.86,2020-2021,1st,,-92.343652,34.775825,False,2,33621.0,16810.5
126,144,,Computer Science,18000.0,,2020-2021,1st,,,,False,1,18000.0,18000.0
127,146,"University of Texas Southwestern Medical Center , Dallas",Applied Clinical Research,35000.0,1.62,2020-2021,1st,,-96.858624,32.811842,False,14,483983.0,34570.21428571428
129,148,,Rehabilitation Sciences,30000.0,,2020-2021,1st,,,,False,1,30000.0,30000.0
136,156,The Ohio State University | The ohio state university,EEOB,28950.0,,2020-2021,2nd,,-83.01,40.0,False,6,140290.0,23381.666666666668
139,159,"University of Texas Health Science Center , San Antonio",IBMS,30000.0,1.44,2020-2021,1st,,-98.4951,29.4246,False,4,110000.0,27500.0
143,164,Princeton University,"Department of Music, Musicology",34250.0,1.35,2020-2021,1st,,-74.65832225,40.3451335,False,76,2574768.0,33878.52631578947
145,166,Johns Hopkins University (JHU),Earth and Planetary Science,33333.0,1.3,2019-2020,1st,"$2000 one time bonus upon enrollment. To be used for education/research/moving related expenses.
Funding is fixed through all years in the program.
Funding is guaranteed by department for 4 years. However, students can almost always obtain funding for additional years of study as necessary.",-76.6203555,39.3289375,False,77,2266355.0,29433.18181818182
150,171,,Materials Science and Engineering,28050.0,,2020-2021,1st,,,,False,1,28050.0,28050.0
152,174,University of South Carolina (USC),Chemistry and Biochemistry,25000.0,1.11,2020-2021,1st,,-80.37595300000001,33.933772999999995,False,28,560949.0,20033.89285714286
157,180,"University of California , San Francisco (UCSF)",biomedical sciences,41200.0,1.38,2020-2021,1st,,-122.458398,37.763313000000004,False,37,1396375.0,37739.86486486487
158,181,University of South Florida (UCF),Psychology,16831.0,0.77,2020-2021,3rd,,-81.199302,28.595836,False,13,241780.0,18598.46153846154
159,182,Arizona State University (ASU),History,18564.0,0.84,2020-2021,1st,,-111.932251,33.421066499999995,False,80,1639369.0,20492.1125
160,183,Virginia Tech,Aerospace Engineering,24000.0,1.14,2020-2021,1st,,-80.40839349999997,37.207,False,43,992915.0,23091.04651162791
161,184,Syracuse University,,28500.0,1.33,2020-2021,,,-76.13476,43.038514,False,32,707569.0,22111.53125
164,187,Georgia State University (GSU),information system,26000.0,1.12,2020-2021,1st,,-84.389137,33.756428,False,35,636641.0,18189.742857142857
165,188,The Hong Kong University of Science and Technology | The Hong Kong University of science and technology,Division of Social Science,34540.0,,2020-2021,1st,Got additional 5000 USD in the first year.,114.263211,22.3374505,False,3,74840.0,24946.666666666668
171,194,University of Chicago (UC),Computer Science,36000.0,1.48,2020-2021,,,-77.04045699999999,38.898701,False,101,3162084.0,31307.762376237624
174,197,"University of Nevada , Reno (UNR)",NRES,22200.0,1.06,2020-2021,1st,,-116.598821819119,40.071120297600004,False,17,369897.0,21758.647058823528
175,199,"University of Maryland , Baltimore (UMB)",Pharmaceutical Health Services Research (PHSR) ,25000.0,0.97,2020-2021,2nd,,-76.626143,39.287555,False,16,445100.0,27818.75
177,201,"University of California , Irvine (UCI)",Mathematics,21746.0,0.74,2019-2020,2nd,,-117.84198700000002,33.649718,False,55,1353339.0,24606.163636363635
179,203,"University of California , Los Angeles (UCLA) | UCLa",Linguistics,35500.0,1.37,2020-2021,6th and up,,-118.44456299999999,34.071048,False,104,2956936.0,28432.076923076922
184,208,University of Tennessee Health Science Center,Biomedical Sciences,28000.0,1.25,2020-2021,1st,,-90.03296999999999,35.140192,False,5,127105.0,25421.0
187,211,"University of Texas , Austin (UT)",Physics,28654.0,1.26,2020-2021,1st,,-97.734734,30.269594,False,107,2700329.0,25236.719626168226
191,215,"Southern Methodist University (SMU) | Southern Methodist University (SMU) , UTSW",Engineering,24000.0,1.11,2020-2021,1st,,-96.78474849999999,32.8429835,False,14,339158.0,24225.571428571428
192,218,Rowan University ,Mechanical Engineering,30000.0,,2019-2020,1st,,-75.119952,39.710091999999996,False,2,58455.0,29227.5
197,223,"University of Minnesota , Twin Cities (UM)",Applied Plant Sciences,29366.0,1.28,2020-2021,3rd,,51.4,25.42,False,103,2473949.0,24018.922330097088
199,225,Baylor College of Medicine,biotechnology,30000.0,1.37,2020-2021,,,-95.39636999999999,29.7105295,False,34,999335.0,29392.20588235294
201,228,,Civil Engineering,24000.0,,2020-2021,,,,,False,1,24000.0,24000.0
202,229,"Kansas State University (K,State)",Civil Engineering,24000.0,1.09,2020-2021,,,-99.43687609999999,40.575773,False,10,205522.0,20552.2
207,235,University of Vermont (UVM) | University of vermont,Neuroscience,28975.0,1.11,2020-2021,1st,,-73.1972305,44.477893,False,15,399116.0,26607.733333333334
208,236,North Carolina State University (NCSU),Biomedical Engineering,39000.0,1.71,2020-2021,3rd,NSF GRFP (34K) plus supplement from advisor (5k),-78.6727755,35.7861945,False,51,1099017.0,21549.352941176472
213,242,"University of Louisiana , Lafayette | University of Louisiana at Lafayette",Biology,22100.0,1.05,2020-2021,1st,TA stipend and additional scholarship from the Biology department. Health insurance not included.,-92.017388,30.213643,False,7,123436.0,17633.714285714286
220,251,Iowa State University (ISU),Physics,24100.0,1.14,2018-2019,3rd,,-93.63266899999999,42.006865999999995,False,32,775645.0,24238.90625
226,258,University of Oregon (UO),Media ,37337.0,1.78,2020-2021,1st,,-123.07203600000001,44.048269,False,29,630011.0,21724.51724137931
229,261,University of Alabama (UA) | University of Denver (DU),Engineering,15750.0,0.75,2020-2021,1st,,55.415170999999994,25.105754,False,46,895561.0,19468.717391304348
230,262,Oklahoma State University (OSU),Industrial Engineering MS,11000.0,0.57,2019-2020,2nd,,-95.988563,36.163864000000004,False,15,289232.0,19282.133333333335
231,263,Texas Tech University (TTU),Computer Science PhD,29000.0,1.43,2020-2021,1st,,-101.886033,33.590215,False,22,391014.0,17773.363636363636
233,265,,Computer Science,24400.0,,2019-2020,1st,It's very cheap in Pullman and funding is very good relatively. Though summer funding is not ensured for all. It's 2200 per month.,,,False,1,24400.0,24400.0
234,266,Washington State University (WSU),Computer Science,24400.0,1.29,2019-2020,1st,It's very cheap in Pullman and funding is very good relatively. Though summer funding is not ensured for all. It's 2200 per month.,-119.2688,46.3252,False,23,402263.0,17489.695652173912
235,267,University of Florida (UF) | University of Central Florida (UCF),Geological Sciences,26780.0,1.18,2020-2021,1st,In addition to tuition waiver. Overall pay doesn't include $10 per month for health insurance and graduate fees (~$1000-1400 per year). ,-81.197224,28.605102000000002,False,104,2320736.0,22314.76923076923
238,271,University of North Texas (UNT),Accounting,22600.0,1.05,2020-2021,1st,,-97.14899799999999,33.210728499999995,False,14,249180.0,17798.571428571428
239,272,Temple University (TU),Physics,28980.0,1.2,2019-2020,1st,University fellowship,-75.156314,39.97922,False,51,1153027.0,22608.37254901961
240,273,University of Notre Dame (ND),History ,23000.0,1.12,2020-2021,4th,,151.218944,-33.88136,False,50,1365485.0,27309.7
246,280,George Washington University (GW),Spanish ,14560.0,0.47,2020-2021,1st,,-77.046676,38.900132,False,19,507573.0,26714.36842105263
248,282,"Southern Illinois University , Carbondale (SIUC)",Phd Matketing,16000.0,0.8,2020-2021,1st,I am starting PhD in Marketing from this Fall. Only comment is I wonder why the funding is so less. My friends in Nebraska are paid more than what I will be getting. I wonder if there is any chance the stipend would increase.,-89.224163,37.705418,False,5,81900.0,16380.0
251,285,,Industrial and manufacturing engineering ,12500.0,,2019-2020,1st,,,,False,1,12500.0,12500.0
252,286,North Dakota State University (NDSU),Industrial and manufacturing engineering ,12500.0,0.65,2019-2020,1st,,-96.803713,46.902255,False,8,118658.0,14832.25
254,289,Idaho State University (ISU),Biological Sciences,15863.0,0.84,2020-2021,4th,,-112.43314099999999,42.864509999999996,False,7,117811.0,16830.14285714286
256,291,Miami University (MU),Geography,13000.0,0.67,2020-2021,1st,,-84.72928300000002,39.500984499999994,False,8,154396.0,19299.5
257,292,University of Cincinnati (UC),Political Science,17000.0,0.88,2020-2021,1st,,-84.515631,39.1319205,False,38,860965.0,22656.973684210527
259,294," University of California Merced | University of California , Merced",Physics,28624.0,,2020-2021,,"As a foreign national citizen, this funding offer includes full coverage each semester of in-state tuition, student services fees, student health insurance plan fees, in addition to dental, vision and wellness benefits. You will also receive full coverage of Non-Resident Supplemental Tuition (NRST) for up to six semesters prior to advancement to candidacy. After advancement to candidacy, NRST will be waived for up to six semesters. Final determination of residency status is made by the Office of the Registrar after review of residency documentation.
Salary/Stipend = $28,924,
Tuition & Fees = $15,540 
NRST = $15,102
Total = $59,566",-120.42762649999999,37.364651,False,6,145945.0,24324.166666666668
260,295,Colorado School of Mines | Colorado school of mines,materials science,30000.0,1.34,2020-2021,1st,,-105.22266,39.7503565,False,12,284400.0,23700.0
261,296,Florida International University (FIU),Management information systems,24810.0,1.04,2020-2021,1st,,-80.37785450000001,25.75261375,False,17,393415.0,23142.058823529413
271,309,Baylor University (BU),Mechanical Engineering,24000.0,1.21,2020-2021,1st,Insurance is partially or fully waived. Tuition is waived; figure mentioned here doesn't include tuition.,-78.85,42.93,False,18,352969.0,19609.38888888889
272,310,,,18000.0,,2020-2021,,,,,False,1,18000.0,18000.0
278,316,,PIBS/ Microbiology & Immunology,32700.0,,2020-2021,2nd,Im guaranteed full support for the duration of my Ph.D.  The listed amount does not include the tuition paid on my behalf to the university by my program. I also receive healthcare and dental benefits at no cost to me. ,,,False,1,32700.0,32700.0
282,321,National Institutes of Health (NIH),GPP,34900.0,1.15,2020-2021,1st,,-77.099131,39.004425,False,14,430794.0,30771.0
286,325,,Chemistry and Biochemistry,25700.0,,2019-2020,2nd,,,,False,1,25700.0,25700.0
292,331,"University at Albany , SUNY",Education Policy and Leadership,18000.0,0.79,2020-2021,1st,,-73.749616,42.648305,False,18,333572.0,18531.777777777777
299,338,"Louisiana State University , Baton Rouge",Communication Studies,15050.0,0.69,2020-2021,1st,,-91.178322,30.414604999999998,False,34,625245.0,18389.558823529413
305,345,USC,ECE,32000.0,,2020-2021,,,-46.5611705,-23.6173355,False,1,32000.0,32000.0
312,352,"Texas A&M University , Kingsville",Environmental Engineering ,15000.0,,2020-2021,2nd,"Students have to pay instate tuition, part of health insurance and fees. Instate tuition per credit is around $450.",-97.8824125,27.5248135,False,1,15000.0,15000.0
313,353,"University of Maryland , Baltimore County (UMBC)",Electrical Engineering and Computer Science,19900.0,0.77,2020-2021,1st,,-76.707353,39.252183,False,7,143422.0,20488.85714285714
320,360,,Educational Studies and Human Ecology ,26316.0,,2020-2021,1st,,,,False,1,26316.0,26316.0
325,365,"University of Nevada , Las Vegas (UNLV)",Electrical and Computer Engineering ,14500.0,0.64,2020-2021,3rd,"The gross pay quoted above is for TAs for ten months. RAs usually get higher pay than this (up to $2000) for ten months. During summer, RAs get up $2,200.",-115.141826,36.107638,False,9,138250.0,15361.111111111111
334,374,University of Miami (UM),Business,32225.0,1.35,2020-2021,1st,,-80.277772,25.720069,False,32,838985.0,26218.28125
340,380,"University of California , Santa Barbara (UCSB)",Film Studies ,23000.0,0.88,2020-2021,1st,Not a great package. ,-119.84886999999999,34.413272,False,34,938410.0,27600.29411764706
341,381,Portland State University (PSU),I/O Psychology,9220.0,0.39,2020-2021,1st,,-122.6742,45.5202,False,5,78340.0,15668.0
342,382,SUNY College of Environmental Science and Forestry,EFB,12288.0,0.58,2019-2020,1st,This is the pay for developing research while having 20 hours of teaching responsibility per week,-76.135762,43.0349625,False,5,87408.0,17481.6
349,389,University of Toronto ,Biochemistry ,22200.0,,2020-2021,1st,,-79.6626575,43.548175,False,4,83029.0,20757.25
359,399,Dartmouth College,Psychological & Brain Sciences,31080.0,1.25,2020-2021,1st,,-72.28884249999999,43.70354,False,17,487086.0,28652.117647058825
362,402,University of Tulsa (TU),Mechanical Engineering,25875.0,1.3,2019-2020,2nd,,-95.94638,36.1519115,False,7,134389.0,19198.428571428572
366,406,Sam Houston State University,Criminal Justice ,25100.0,1.25,2020-2021,1st,"20K for academic year, 6.6K during the summer months. Health insurance not covered ",-95.470115,30.209207,False,2,45100.0,22550.0
369,409,"University of Illinois , Urbana, Champaign (UIUC) | University of Illinois urbana | Unoversity of illinois",Electrical and Computer Engineering,26400.0,1.2,2020-2021,1st,11 months of support. Tuition waiver and partial fee waiver.,-88.2269005,40.11054,False,113,2691241.0,23816.29203539823
373,413,Rice University,Bioengineering,31075.0,1.42,2020-2021,1st,,-95.4018215,29.717171,False,55,1460250.0,26550.0
374,414,Cleveland State University (CSU),"biological, geological, and environmental sciences",21000.0,1.05,2020-2021,1st,,-81.675191,41.5020855,False,1,21000.0,21000.0
377,417,,,32000.0,,2020-2021,2nd,,,,False,1,32000.0,32000.0
378,418,Brown University,Epidemiology,26363.0,1.16,2019-2020,2nd,"* Summer is a free-for-all. You receive a fraction of a stipend, but will be responsible to make up the remaining amount with additional work, RAships, etc., but your expectation of work hours DOES NOT change!!",-71.40396199999999,41.8261575,False,51,1597243.0,31318.49019607843
379,419,Duquesne University (DU),Pharmacology ,23000.0,1.11,2020-2021,1st,,-79.991974,40.4375005,False,8,157363.0,19670.375
380,421,Medical University of South Carolina,Biomedical Data Science and Informatics ,29000.0,1.21,2020-2021,1st,,-79.94729699999999,32.784808,False,4,112700.0,28175.0
393,437,Georgetown University,Biology,33000.0,1.07,2020-2021,3rd,,-77.072684,38.907701875,False,30,901329.0,30044.3
395,439,University of Oklahoma (OU),Data Science and Analytics,19000.0,0.94,2020-2021,1st,,-97.446329,35.210669,False,25,437210.0,17488.4
